caseId,modelName,baseModel,newModel,event,status,summary,searchText,createdAt
case:ae331f83bc85fd1d016baf5e,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,"BO24 북유럽 CE 개발부품 마스터 250113.xlsm / 변경부품 list_Good2, BK","BO24 북유럽 CE 개발부품 마스터 250113.xlsm | 변경부품 list_Good2, BK | 모델명(등급) | CP  PP  DV  PV  PQ",2026-05-28T03:19:17.766859+00:00
case:32d3b7bbf8633570622755d2,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,"BO24 북유럽 CE 개발부품 마스터 250113.xlsm / 변경부품 list_Good1, STS","BO24 북유럽 CE 개발부품 마스터 250113.xlsm | 변경부품 list_Good1, STS | 모델명(등급) | CP  PP  DV  PV  PQ",2026-05-28T03:19:17.780420+00:00
case:3f9e8c9bddd51cc0b618c759,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,"BO24 북유럽 CE 개발부품 마스터 250113.xlsm / 변경부품 list_Good2, STS","BO24 북유럽 CE 개발부품 마스터 250113.xlsm | 변경부품 list_Good2, STS | 모델명(등급) | CP  PP  DV  PV  PQ",2026-05-28T03:19:17.786410+00:00
case:eea75d29d72bdc6eae4e33ee,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 오븐 이집트향 부품 개발 완료 Master 240306.xlsx / 변경부품 list_Good,BO24 오븐 이집트향 부품 개발 완료 Master 240306.xlsx | 변경부품 list_Good | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:18.431921+00:00
case:d6158663c79d802143a51f63,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 오븐 이집트향 부품 개발 완료 Master 240306.xlsx / 변경부품 list_Better,BO24 오븐 이집트향 부품 개발 완료 Master 240306.xlsx | 변경부품 list_Better | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:18.438923+00:00
case:e564ace2ff61d3e9f98cbf1b,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 오븐 이집트향 부품 개발 완료 Master 240306.xlsx / 변경부품 list_Best,BO24 오븐 이집트향 부품 개발 완료 Master 240306.xlsx | 변경부품 list_Best | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:18.445925+00:00
case:64b42f0d4229c96ecbbd9b9d,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm / 변경부품 list_Best1,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm | 변경부품 list_Best1 | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:40.688224+00:00
case:40a24a25642f92370ea1b13a,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm / 변경부품 list_Better1,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm | 변경부품 list_Better1 | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:40.693224+00:00
case:3eea0c2f70787816528b586d,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm / 변경부품 list_Best,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm | 변경부품 list_Best | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:40.698196+00:00
case:ada52b383791e455e58d4803,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm / 변경부품 list_Better,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm | 변경부품 list_Better | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:40.704225+00:00
case:f998e810885545f15d0b41c3,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm / WSED7665B.AK1QEUR,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm | WSED7665B.AK1QEUR | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:40.709195+00:00
case:e60fa53c7cf46dd637ab0ce4,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm / WSED7664S.AS1QEUR,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm | WSED7664S.AS1QEUR | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:40.712231+00:00
case:ed1c28ea22ee1747305b81a1,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm / WS9D7651WS.AS1QEUR,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm | WS9D7651WS.AS1QEUR | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:40.715193+00:00
case:54e3fd576e2c93af806244d3,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm / WS9D7651B.AK1QEUR,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm | WS9D7651B.AK1QEUR | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:40.718224+00:00
case:661d7e0e8422aa479b1105bb,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm / WS9D7673CB.AK1QEUR,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm | WS9D7673CB.AK1QEUR | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:40.721224+00:00
case:7c44756a3ebafde4cb8aaef7,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm / WS9D7672CS.AS1QEUR,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm | WS9D7672CS.AS1QEUR | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:40.724195+00:00
case:e8108cacb88ecbab4da9350d,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm / WSED7665B.AK1QEUS,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm | WSED7665B.AK1QEUS | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:40.728227+00:00
case:7fee29c85ad82feb41a91576,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm / WSED7665B.AK1QEUE,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm | WSED7665B.AK1QEUE | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:40.731229+00:00
case:fcd069d6bd6f6f15c557d512,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm / WS9D7651WS.AS1QEUE,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm | WS9D7651WS.AS1QEUE | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:40.734224+00:00
case:67dc548b47b57f4809a0e84e,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm / WS9D7651WB.AB1QEUS,BO24 유럽향 VI Steam Heater 개발 부품 마스터.xlsm | WS9D7651WB.AB1QEUS | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:40.737225+00:00
case:3065a253165dfd43de2c00a2,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 포르투갈 그리스 부품 개발 완료 Activity 240627.xlsm / 변경부품 list_Better1,BO24 포르투갈 그리스 부품 개발 완료 Activity 240627.xlsm | 변경부품 list_Better1 | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:43.799499+00:00
case:f4f625f51d313d8f0d8d554f,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,"BO24 포르투갈, 그리스 개발부품 마스터 240516.xlsm / 변경부품 list_Better1","BO24 포르투갈, 그리스 개발부품 마스터 240516.xlsm | 변경부품 list_Better1 | 모델명(등급) | CP  PP  DV  PV  PQ",2026-05-28T03:19:47.917578+00:00
case:365d55bb314c3446d364ec4a,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,"BO24 포르투갈, 그리스 개발부품 마스터 240516.xlsm / 변경부품 list_Good2,STS","BO24 포르투갈, 그리스 개발부품 마스터 240516.xlsm | 변경부품 list_Good2,STS | 모델명(등급) | CP  PP  DV  PV  PQ",2026-05-28T03:19:47.923576+00:00
case:5c4c3f11e3d290196117ec75,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,"BO24 포르투갈, 그리스 개발부품 마스터 240516.xlsm / 변경부품 list_Good2,BK STS","BO24 포르투갈, 그리스 개발부품 마스터 240516.xlsm | 변경부품 list_Good2,BK STS | 모델명(등급) | CP  PP  DV  PV  PQ",2026-05-28T03:19:47.928570+00:00
case:4e052c5381aa5bef2a1c21b0,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 호주 B700 nonpyro 개발부품 마스터 241120.xlsx / 변경 부품 list(BO605G1S5),BO24 호주 B700 nonpyro 개발부품 마스터 241120.xlsx | 변경 부품 list(BO605G1S5) | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:49.615637+00:00
case:44257836d015ed5aab263cb6,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 호주 B700 nonpyro 개발부품 마스터 241120.xlsx / 변경 부품 list(BO605G1GL5),BO24 호주 B700 nonpyro 개발부품 마스터 241120.xlsx | 변경 부품 list(BO605G1GL5) | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:49.619636+00:00
case:6f5a73137a089899b63d1382,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 호주향 개발부품 마스터 240221.xlsm / 변경부품 list_Best,BO24 호주향 개발부품 마스터 240221.xlsm | 변경부품 list_Best | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:57.359330+00:00
case:0c7fceb78bc8164f1d451659,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 호주향 개발부품 마스터 240221.xlsm / 변경부품 list_Better,BO24 호주향 개발부품 마스터 240221.xlsm | 변경부품 list_Better | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:57.367359+00:00
case:430ad9ee7a314031ecdbfce4,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 호주향 개발부품 마스터 240221.xlsm / 변경부품 list_Good,BO24 호주향 개발부품 마스터 240221.xlsm | 변경부품 list_Good | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:57.374359+00:00
case:09266c76329fc636a0756c2f,BO24 호주향 개발부품 마스터 240221,,,DV,imported,BO24 호주향 개발부품 마스터 240221.xlsm / BOM Compare_Best,BO24 호주향 개발부품 마스터 240221.xlsm | BOM Compare_Best | DV,2026-05-28T03:19:57.382360+00:00
case:8b8b23451daf5b4c644b51a0,※Base 단가 캡쳐본,※Base 단가 캡쳐본,,DV,imported,BO24 호주향 개발부품 마스터 240221.xlsm / Good Base Assembly 비교단가,BO24 호주향 개발부품 마스터 240221.xlsm | Good Base Assembly 비교단가 | ※Base 단가 캡쳐본 | DV,2026-05-28T03:19:57.393393+00:00
case:820b677915c536c3f5e1aabe,※Base 단가 캡쳐본,※Base 단가 캡쳐본,,DV,imported,BO24 호주향 개발부품 마스터 240221.xlsm / Better Base Assembly 비교단가,BO24 호주향 개발부품 마스터 240221.xlsm | Better Base Assembly 비교단가 | ※Base 단가 캡쳐본 | DV,2026-05-28T03:19:57.402923+00:00
case:44087d3965c3314078fb5362,※Base 단가 캡쳐본,※Base 단가 캡쳐본,,DV,imported,BO24 호주향 개발부품 마스터 240221.xlsm / Best Base Assembly 비교단가,BO24 호주향 개발부품 마스터 240221.xlsm | Best Base Assembly 비교단가 | ※Base 단가 캡쳐본 | DV,2026-05-28T03:19:57.413920+00:00
case:eb74e0da1633bb516748098c,개발모델(Best),개발모델(Best),,Base Model,imported,UAE 24인치 오븐 부품 개발 List 230731.xlsx / 신규 개발리스트,UAE 24인치 오븐 부품 개발 List 230731.xlsx | 신규 개발리스트 | 개발모델(Best) | Base Model,2026-05-28T03:19:58.743612+00:00
case:dbb8b1b75e41424d2df08278,개발모델(Good),개발모델(Good),,Base Model,imported,UAE 24인치 오븐 부품 개발 List 230731.xlsx / 신규 개발리스트_UAE,UAE 24인치 오븐 부품 개발 List 230731.xlsx | 신규 개발리스트_UAE | 개발모델(Good) | Base Model,2026-05-28T03:19:58.761611+00:00
case:77b2e50f70796495fb763b94,WS7D7632WB.AB1QEUE,WS7D7632WB.ABKQEUE,WS7D7632WB.AB1QEUE,CP DV PV PreMP,imported,★통합 개발부품Master Integrated Dev Part Master v1.2 동유럽향.xlsx / Good-1 BK,★통합 개발부품Master Integrated Dev Part Master v1.2 동유럽향.xlsx | Good-1 BK | WS7D7632WB.ABKQEUE | WS7D7632WB.AB1QEUE | CP DV PV PreMP,2026-05-28T03:19:59.086817+00:00
case:1423146da1eb2ecbf5b13d02,WS7D7631WB.AB1QEUE,WS7D7631WB.ABKQEUE,WS7D7631WB.AB1QEUE,CP DV PV PreMP,imported,★통합 개발부품Master Integrated Dev Part Master v1.2 동유럽향.xlsx / Goood-2 BK,★통합 개발부품Master Integrated Dev Part Master v1.2 동유럽향.xlsx | Goood-2 BK | WS7D7631WB.ABKQEUE | WS7D7631WB.AB1QEUE | CP DV PV PreMP,2026-05-28T03:19:59.089817+00:00
case:15b79dabb1cd795a267f5023,WSED7613S.AS1QEUE,WSED7613S.ASTQEUE,WSED7613S.AS1QEUE,CP DV PV PreMP,imported,★통합 개발부품Master Integrated Dev Part Master v1.2 동유럽향.xlsx / Good-1 STS,★통합 개발부품Master Integrated Dev Part Master v1.2 동유럽향.xlsx | Good-1 STS | WSED7613S.ASTQEUE | WSED7613S.AS1QEUE | CP DV PV PreMP,2026-05-28T03:19:59.092816+00:00
case:b1a6bc04771d5c1fa03b7de6,WSED7612S.AS1QEUE,WSED7612S.ASTQEUE,WSED7612S.AS1QEUE,CP DV PV PreMP,imported,★통합 개발부품Master Integrated Dev Part Master v1.2 동유럽향.xlsx / Good-2 STS,★통합 개발부품Master Integrated Dev Part Master v1.2 동유럽향.xlsx | Good-2 STS | WSED7612S.ASTQEUE | WSED7612S.AS1QEUE | CP DV PV PreMP,2026-05-28T03:19:59.095817+00:00
case:068c5d28fba4fbde42e7d620,WSED7667M.ABMZLSL / D,WSED7667M.ABMQEUR,WSED7667M.ABMZLSL / D,CP DV PV PreMP,imported,★통합 개발부품Master Integrated Dev Part Master v1.2 싱가포르향 (1) (1).xlsx / Master(Best),★통합 개발부품Master Integrated Dev Part Master v1.2 싱가포르향 (1) (1).xlsx | Master(Best) | WSED7667M.ABMQEUR | WSED7667M.ABMZLSL / D | CP DV PV PreMP,2026-05-28T03:19:59.345025+00:00
case:b8728534fd8e3dce3483b708,WSED7665B.AKSZLSL / D,WSED7665B.AKSQEUR,WSED7665B.AKSZLSL / D,CP DV PV PreMP,imported,★통합 개발부품Master Integrated Dev Part Master v1.2 싱가포르향 (1) (1).xlsx / Master(Better),★통합 개발부품Master Integrated Dev Part Master v1.2 싱가포르향 (1) (1).xlsx | Master(Better) | WSED7665B.AKSQEUR | WSED7665B.AKSZLSL / D | CP DV PV PreMP,2026-05-28T03:19:59.349025+00:00
case:88257c04904efcaaeb1473ef,WSED7612B.AKSZLSL / D,WSED7612B.AKSQEUR,WSED7612B.AKSZLSL / D,CP DV PV PreMP,imported,★통합 개발부품Master Integrated Dev Part Master v1.2 싱가포르향 (1) (1).xlsx / Master(Good),★통합 개발부품Master Integrated Dev Part Master v1.2 싱가포르향 (1) (1).xlsx | Master(Good) | WSED7612B.AKSQEUR | WSED7612B.AKSZLSL / D | CP DV PV PreMP,2026-05-28T03:19:59.352024+00:00
case:883ed52408c38c08b6880994,개발변경부품Master Best 221226,,,DV,imported,개발변경부품Master Best 221226.xlsx / 개발변경부품리스트,개발변경부품Master Best 221226.xlsx | 개발변경부품리스트 | DV,2026-05-28T03:19:59.766902+00:00
case:8412a71cf74190a29d7a893e,개발변경부품Master Better 221226,,,DV,imported,개발변경부품Master Better 221226.xlsx / 개발변경부품리스트,개발변경부품Master Better 221226.xlsx | 개발변경부품리스트 | DV,2026-05-28T03:20:00.225585+00:00
case:21b2fe594572b3d840eb5119,개발변경부품Master Good 221226,,,DV,imported,개발변경부품Master Good 221226.xlsx / 개발변경부품리스트,개발변경부품Master Good 221226.xlsx | 개발변경부품리스트 | DV,2026-05-28T03:20:00.704565+00:00
case:09740bdf3c08c68139dc025d,개발변경부품리스트 전개모델 230110,,,DV,imported,개발변경부품리스트 전개모델 230110.xlsx / 개발변경부품리스트,개발변경부품리스트 전개모델 230110.xlsx | 개발변경부품리스트 | DV,2026-05-28T03:20:01.092179+00:00
case:c5ed736e23742d1339622e06,LSIU6339XE / B,LSIS6338FE / C1,LSIU6339XE / B,CP DV PV PreMP,imported,개발부품Master Single IH Final.xlsx / Master,개발부품Master Single IH Final.xlsx | Master | LSIS6338FE / C1 | LSIU6339XE / B | CP DV PV PreMP,2026-05-28T03:20:06.186496+00:00
case:736365fe05fac3adf09bb092,LSIS6338F.ARSLSTC,LSIS6338F.ARSLSTC,,CP    PP    DV    PV    PQ,imported,개발부품마스터 BO24 CIS Best.xlsx / Best,개발부품마스터 BO24 CIS Best.xlsx | Best | LSIS6338F.ARSLSTC | CP    PP    DV    PV    PQ,2026-05-28T03:20:07.076390+00:00
case:bcf7b4da0f7f9f51208d151e,LSIS6338F.ARSLSTC,LSIS6338F.ARSLSTC,,CP    PP    DV    PV    PQ,imported,개발부품마스터 BO24 CIS Better.xlsx / Better,개발부품마스터 BO24 CIS Better.xlsx | Better | LSIS6338F.ARSLSTC | CP    PP    DV    PV    PQ,2026-05-28T03:20:07.672922+00:00
case:440517d52e1f4836e9a5a389,LSIS6338F.ARSLSTC,LSIS6338F.ARSLSTC,,CP    PP    DV    PV    PQ,imported,개발부품마스터 BO24 동유럽 Better 250424.xlsx / Better,개발부품마스터 BO24 동유럽 Better 250424.xlsx | Better | LSIS6338F.ARSLSTC | CP    PP    DV    PV    PQ,2026-05-28T03:20:08.281230+00:00
case:3a40421d19c4d2a0e052005d,개발모델(Best),개발모델(Best),,Base Model,imported,이라크 24인치 오븐 부품개발 완료 List 230731.xlsx / 신규 개발리스트,이라크 24인치 오븐 부품개발 완료 List 230731.xlsx | 신규 개발리스트 | 개발모델(Best) | Base Model,2026-05-28T03:20:09.692432+00:00
case:2e9048decc57a736579a8441,개발모델(Good),개발모델(Good),,Base Model,imported,이라크 24인치 오븐 부품개발 완료 List 230731.xlsx / 신규 개발리스트_UAE,이라크 24인치 오븐 부품개발 완료 List 230731.xlsx | 신규 개발리스트_UAE | 개발모델(Good) | Base Model,2026-05-28T03:20:09.710713+00:00
case:e0bda931d1ac6b5ae9d4f711,WS9D7688M / B,WSED7667M / B,WS9D7688M / B,CP DV PV PreMP,imported,참고용_Extra_결과 (1).xlsx / Sheet1,참고용_Extra_결과 (1).xlsx | Sheet1 | WSED7667M / B | WS9D7688M / B | CP DV PV PreMP,2026-05-28T03:20:09.765744+00:00
case:f7363a1f22a38fad81a1a5c7,WS9D7688M / B,WSED7667M / B,WS9D7688M / B,CP DV PV PreMP,imported,통합 개발부품Master Extra v1.1.xlsx / Master,통합 개발부품Master Extra v1.1.xlsx | Master | WSED7667M / B | WS9D7688M / B | CP DV PV PreMP,2026-05-28T03:20:10.002271+00:00
